CountryCode,Name,District,Population
BRA,"São Leopoldo","Rio Grande do Sul",189258
BRA,Marília,"São Paulo",188691
BRA,"São Carlos","São Paulo",187122
BRA,Sumaré,"São Paulo",186205
BRA,"Presidente Prudente","São Paulo",185340
BRA,Divinópolis,"Minas Gerais",185047
BRA,"Sete Lagoas","Minas Gerais",182984
BRA,"Rio Grande","Rio Grande do Sul",182222
BRA,Itabuna,Bahia,182148
BRA,Jequié,Bahia,179128
BRA,Arapiraca,Alagoas,178988
BRA,Colombo,Paraná,177764
BRA,Americana,"São Paulo",177409
BRA,Alvorada,"Rio Grande do Sul",175574
BRA,Araraquara,"São Paulo",174381
BRA,Itaboraí,"Rio de Janeiro",173977
BRA,"Santa Bárbara d´Oeste","São Paulo",171657
BRA,"Nova Friburgo","Rio de Janeiro",170697
BRA,Jacareí,"São Paulo",170356
BRA,Araçatuba,"São Paulo",169303
BRA,"Barra Mansa","Rio de Janeiro",168953
BRA,"Praia Grande","São Paulo",168434
BRA,Marabá,Pará,167795
BRA,Criciúma,"Santa Catarina",167661
BRA,"Boa Vista",Roraima,167185
BRA,"Passo Fundo","Rio Grande do Sul",166343
BRA,Dourados,"Mato Grosso do Sul",164716
BRA,"Santa Luzia","Minas Gerais",164704
BRA,"Rio Claro","São Paulo",163551
BRA,Maracanaú,Ceará,162022
BRA,Guarapuava,Paraná,160510
BRA,Rondonópolis,"Mato Grosso",155115
BRA,"São José","Santa Catarina",155105
BRA,"Cachoeiro de Itapemirim","Espírito Santo",155024
BRA,Nilópolis,"Rio de Janeiro",153383
BRA,Itapevi,"São Paulo",150664
BRA,"Cabo de Santo Agostinho",Pernambuco,149964
BRA,Camaçari,Bahia,149146
BRA,Sobral,Ceará,146005
BRA,Itajaí,"Santa Catarina",145197
BRA,Chapecó,"Santa Catarina",144158
BRA,Cotia,"São Paulo",140042
BRA,Lages,"Santa Catarina",139570
BRA,"Ferraz de Vasconcelos","São Paulo",139283
BRA,Indaiatuba,"São Paulo",135968
BRA,Hortolândia,"São Paulo",135755
BRA,Caxias,Maranhão,133980
BRA,"São Caetano do Sul","São Paulo",133321
BRA,Itu,"São Paulo",132736
BRA,"Nossa Senhora do Socorro",Sergipe,131351
BRA,Parnaíba,Piauí,129756
BRA,"Poços de Caldas","Minas Gerais",129683
BRA,Teresópolis,"Rio de Janeiro",128079
BRA,Barreiras,Bahia,127801
BRA,Castanhal,Pará,127634
BRA,Alagoinhas,Bahia,126820
BRA,"Itapecerica da Serra","São Paulo",126672
BRA,Uruguaiana,"Rio Grande do Sul",126305
